iter	Passed	Remaining
676	5437	2594
677	5445	2586
678	5452	2577
679	5459	2569
680	5466	2560
681	5474	2552
682	5481	2543
683	5488	2535
684	5495	2527
685	5502	2518
686	5509	2510
687	5516	2501
688	5523	2493
689	5530	2484
690	5538	2476
691	5544	2467
692	5551	2459
693	5559	2451
694	5565	2442
695	5573	2434
696	5580	2425
697	5588	2417
698	5595	2409
699	5602	2401
700	5609	2392
701	5616	2384
702	5623	2375
703	5630	2367
704	5637	2359
705	5644	2350
706	5652	2342
707	5658	2333
708	5666	2325
709	5672	2316
710	5679	2308
711	5687	2300
712	5693	2291
713	5700	2283
714	5707	2275
715	5715	2266
716	5722	2258
717	5730	2250
718	5737	2242
719	5744	2233
720	5753	2226
721	5759	2217
722	5767	2209
723	5774	2201
724	5781	2192
725	5787	2184
726	5795	2176
727	5802	2167
728	5809	2159
729	5817	2151
730	5824	2143
731	5830	2134
732	5837	2126
733	5843	2117
734	5851	2109
735	5859	2101
736	5866	2093
737	5874	2085
738	5882	2077
739	5888	2069
740	5896	2060
741	5903	2052
742	5910	2044
743	5917	2036
744	5925	2028
745	5933	2020
746	5940	2011
747	5947	2003
748	5955	1995
749	5962	1987
750	5969	1979
751	5976	1971
752	5983	1962
753	5991	1954
754	5998	1946
755	6005	1938
756	6012	1930
757	6019	1921
758	6026	1913
759	6034	1905
760	6040	1897
761	6049	1889
762	6055	1881
763	6062	1872
764	6069	1864
765	6076	1856
766	6083	1848
767	6089	1839
768	6097	1831
769	6103	1823
770	6111	1815
771	6118	1807
772	6126	1799
773	6134	1791
774	6141	1782
775	6149	1775
776	6156	1766
777	6163	1758
778	6170	1750
779	6177	1742
780	6185	1734
781	6192	1726
782	6199	1718
783	6206	1710
784	6213	1701
785	6221	1693
786	6228	1685
787	6235	1677
788	6241	1669
789	6249	1661
790	6255	1652
791	6262	1644
792	6269	1636
793	6277	1628
794	6283	1620
795	6290	1612
796	6297	1604
797	6305	1596
798	6312	1588
799	6319	1579
800	6326	1571
801	6332	1563
802	6339	1555
